"provider_name","address1","address2","city","county","state_code","zip","national_drug_code","order_label","last_order_date","last_date_delivered","total_courses","courses_available","courses_available_date","geocoded_address","npi"
"ROGER SAUX HC","1505 KLA OOK WA DRIVE",,"TAHOLAH","GRAYS HARBOR","WA","98587","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000",,"40",,,,"1427171628"
"AVERA MERRILL PIONEER HOSPITAL","1100 S 10th Ave",,"ROCK RAPIDS","LYON","IA","51246","0310-7442-02","Evusheld","2022-01-06T00:00:00.000","2022-01-13T00:00:00.000","48",,,,
"CVS Store #09270","2033 W WICKENBURG WAY","CVS Pharmacy","WICKENBURG","MARICOPA","AZ","85390","0006-5055-06","Molnupiravir","2021-12-30T00:00:00.000","2022-01-06T00:00:00.000","80","79","2022-01-18T00:00:00.000",,"1962446211"
"Rite Aid 10807","601 E. MAIN STREET",,"BATAVIA","GENESEE","NY","14020-2827","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"140","77","2022-01-18T00:00:00.000","POINT (-78.163583 42.994842)",
"Rite Aid 05800","1076 KERN ST",,"TAFT","KERN","CA","93268","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"40",,,"POINT (-119.467839 35.145809)",
"Hospital Universitario Ramon Ruiz","Ave Laurel Santa Juanita #100",,"BAYAMON","San Juan","PR","00955","0069-1085-30","Paxlovid","2022-01-15T00:00:00.000",,"80",,,,"1972073518"
"Queens North Hawaii COVID","67-1125 Mamalahoa Hwy",,"Kamuela","HAWAII","HI","96743","0310-7442-02","Evusheld","2022-01-12T00:00:00.000",,"72","24","2022-01-10T00:00:00.000","POINT (-155.665441 20.023219)",
"BROOKSHIRE BROTHERS 89","421 S MAIN ST",,"LUMBERTON","HARDIN","TX","77657","0006-5055-06","Molnupiravir","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","20",,,"POINT (-94.196911 30.248313)",
"Walmart Pharmacy #521","2500 N MLK Hwy",,"Lake Charles","CALCASIEU","LA","70601","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000","2022-01-10T00:00:00.000","40","19","2022-01-18T00:00:00.000",,"1790702066"
"AURORA RETAIL PHARMACY 1297","975 PORT WASHINGTON RD",,"GRAFTON","OZAUKEE","WI","53024","0006-5055-06","Molnupiravir","2022-01-03T00:00:00.000","2022-01-10T00:00:00.000","20","20","2022-01-16T00:00:00.000",,"1952610693"
"Rite Aid 05674","405 WEST MAIN STREET",,"BRAWLEY","IMPERIAL","CA","92227-2244","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,"POINT (-115.54865 32.978648)",
"YAKUTAT COMMUNITY HEALTH CENTER","115 Airport",,"Yakutat","YAKUTAT","AK","99689","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,"POINT (-139.672296 59.507731)","1568468189"
"Walmart Pharmacy #768","1313 FRY RD",,"KATY","HARRIS","TX","77449","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,"POINT (-95.717304 29.767281)","1912924143"
"V17 549 Dallas, TX","4500 S LANCASTER ROAD","Pharmacy-119","DALLAS","DALLAS","TX","75216","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-13T00:00:00.000","20",,,"POINT (-96.792973 32.694164)",
"WM-MidHudson Regional Hospital","241 North Road",,"Poughkeepsie","DUTCHESS","NY","12601","0310-7442-02","Evusheld","2022-01-04T00:00:00.000","2021-12-28T00:00:00.000","48","48","2022-01-14T00:00:00.000","POINT (-73.929503 41.717405)",
"ISLAND DRUG","32170 SR 20",,"Oak Harbor","ISLAND","WA","98277","0069-1085-30","Paxlovid","2022-01-11T00:00:00.000","2022-01-07T00:00:00.000","40",,,,"1952302382"
"CROWN MEDICAL CLINIC","1925 1st Avenue South",,"Minneapolis","HENNEPIN","MN","55403","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000",,"20",,,"POINT (-93.276577 44.96364)","1730546672"
"GANNAWAY DRUG STORE","101 N MAIN ST",,"WARREN","BRADLEY","AR","71671","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,"POINT (-92.064274 33.614499)","1023423423"
"KROGER PHARMACY 03400149","800 NORTH DIXIE DR.",,"CLUTE","BRAZORIA","TX","77531","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000","2021-12-31T00:00:00.000","60",,,"POINT (-95.422373 29.038607)","1649343179"
"Rite Aid 05631","1331 SOUTH MISSION ROAD",,"FALLBROOK","SAN DIEGO","CA","92028-4007","0069-1085-30","Paxlovid","2022-01-13T00:00:00.000","2021-12-30T00:00:00.000","140","103","2022-01-18T00:00:00.000","POINT (-117.25092 33.369028)",
"HOLYOKE HEALTH CENTER INC","230 Maple Street","Pharmacy","Holyoke","HAMPDEN","MA","01040","0069-1085-30","Paxlovid","2022-01-05T00:00:00.000","2022-01-11T00:00:00.000","20","0","2022-01-05T00:00:00.000","POINT (-72.608622 42.20732)",
"Walgreens Store #11196","12506 HIGHWAY 73",,"GEISMAR","ASCENSION","LA","70734","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"60","20","2022-01-18T00:00:00.000","POINT (-90.989058 30.254175)","1790979110"
"Meijer Store 065","15055 Hall Road","Deliver to Pharmacy","Utica","MACOMB","MI","48315","0006-5055-06","Molnupiravir","2021-12-30T00:00:00.000","2022-01-04T00:00:00.000","40","40","2022-01-17T00:00:00.000","POINT (-82.97641 42.627745)","1669512174"
"LINOS PHARMACY 2","201 N FM 3167 STE 101-102",,"RIO GRANDE CITY","STARR","TX","78582","0006-5055-06","Molnupiravir","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","20","20","2022-01-17T00:00:00.000","POINT (-98.856149 26.38726)","1164617585"
"Rogue Community Health - Medford","19 Myrtle St",,"Medford","JACKSON","OR","97504","0006-5055-06","Molnupiravir","2021-12-27T00:00:00.000","2022-01-07T00:00:00.000","40",,,"POINT (-122.863022 42.327189)","1558371435"
"BARTZ ALTADONNA CHC - LANCASTER GIN","43322 GINGHAM AVE","Suite 105","LANCASTER","LOS ANGELES","CA","93535","0006-5055-06","Molnupiravir","2021-12-26T00:00:00.000","2022-01-05T00:00:00.000","300","600","2022-01-13T00:00:00.000","POINT (-118.122292 34.670125)","1811279763"
"Baxter Regional Medical Center","624 Hospital Drive",,"Mountain Home","BAXTER","AR","72653","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000","2022-01-10T00:00:00.000","60","39","2022-01-18T00:00:00.000","POINT (-92.395905 36.343067)",
"Walmart Pharmacy #6975","1203 S Pine St",,"Cabot","LONOKE","AR","72023","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000","2021-12-29T00:00:00.000","40","0","2022-01-13T00:00:00.000","POINT (-92.008512 34.95313)","1972904811"
"Rite Aid 05913","1905 MONUMENT BOULEVARD",,"CONCORD","CONTRA COSTA","CA","94520-3858","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"80",,,"POINT (-122.039641 37.956005)",
"NICHOLAS H NOYES HOSPITAL","111 Clara Barton St","Attn: Dept of Pharmacy","Dansville","LIVINGSTON","NY","14437","0310-7442-02","Evusheld","2022-01-14T00:00:00.000","2021-12-29T00:00:00.000","48","0","2022-01-04T00:00:00.000","POINT (-77.700314 42.552038)",
"KROGER PHARMACY 03500495","515 S MACARTHUR BLVD",,"IRVING","DALLAS","TX","75060","0069-1085-30","Paxlovid","2021-12-24T00:00:00.000","2021-12-29T00:00:00.000","20","0","2022-01-18T00:00:00.000","POINT (-96.960053 32.809309)","1295808814"
"CVS Store #05350","182 SOUTH RIDGE ST","CVS Pharmacy","RYE BROOK","WESTCHESTER","NY","10573","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000","2021-12-29T00:00:00.000","80","0","2022-01-18T00:00:00.000","POINT (-73.681012 41.002152)","1861595605"
"PHARMSCRIPT OF ILLINOIS","281 SHORE DR # UNITS C AND D",,"BURR RIDGE","DU PAGE","IL","60527","0069-1085-30","Paxlovid","2022-01-17T00:00:00.000","2022-01-10T00:00:00.000","120","0","2021-12-30T00:00:00.000","POINT (-87.937766 41.740048)","1386966877"
"CHARLES RIVER COMMUNITY HEALTH BRIG","495 WESTERN AVE","2ND FLOOR MEDICAL","BRIGHTON","SUFFOLK","MA","02135","0069-1085-30","Paxlovid","2021-12-28T00:00:00.000","2022-01-06T00:00:00.000","20","20","2022-01-18T00:00:00.000","POINT (-71.144035 42.361793)",
"LESTER E COX MED CTR","3801 S NATIONAL AVE",,"SPRINGFIELD","GREENE","MO","65807-5210","0006-5055-06","Molnupiravir","2022-01-12T00:00:00.000","2022-01-13T00:00:00.000","480","180","2022-01-11T00:00:00.000","POINT (-93.278091 37.144664)",
"TTUHSC PHARMACY","3601 4TH ST","STE 1B300 MS 7465","LUBBOCK","LUBBOCK","TX","79430","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000",,"40",,,"POINT (-101.892352 33.592326)",
"CINCINNATI CHILDRENS MED CTR","3333 Burnet Avenue",,"Cincinnati","HAMILTON","OH","45229","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2021-12-31T00:00:00.000","80","62","2022-01-18T00:00:00.000","POINT (-84.500402 39.140936)",
"Schneck Medical Center","411 W Tipton St",,"Seymour","JACKSON","IN","47274","0069-1085-30","Paxlovid","2022-01-13T00:00:00.000","2021-12-29T00:00:00.000","40","39","2022-01-18T00:00:00.000","POINT (-85.891321 38.956742)",
"Rite Aid 02478","129 EAST CENTRE STREET",,"ASHLAND","SCHUYLKILL","PA","17921-2010","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"240","100","2022-01-18T00:00:00.000","POINT (-76.332044 40.783742)",
"Walmart Pharmacy #220","951 SW WILSHIRE BLVD",,"BURLESON","JOHNSON","TX","76028","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20",,,"POINT (-97.340003 32.529028)","1407873656"
"Consonus Pharmacy Services LLC","6351 N FORT APACHE RD",,"Las Vegas","CLARK","NV","89149","0069-1085-30","Paxlovid","2021-12-23T00:00:00.000","2022-01-05T00:00:00.000","60","50","2022-01-17T00:00:00.000","POINT (-115.296961 36.276292)",
"Walmart Pharmacy #5752","174 PASSAIC ST",,"GARFIELD","BERGEN","NJ","07026","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000",,"100",,,"POINT (-74.101951 40.867675)","1861703274"
"CARTERET HEART AND VASCULAR","8914A REED DR.",,"EMERALD ISLE","CARTERET","NC","28594","0310-7442-02","Evusheld","2021-12-30T00:00:00.000","2022-01-11T00:00:00.000","24","23","2022-01-18T00:00:00.000","POINT (-77.054629 34.659695)",
"Comm Mem Hosp - SanBuenaV","147 N Brent St","Attn: Inpatient Pharmacy","Ventura","VENTURA","CA","93003","0310-7442-02","Evusheld","2022-01-14T00:00:00.000","2022-01-07T00:00:00.000","192","47","2021-12-29T00:00:00.000","POINT (-119.257324 34.274574)",
"FROEDTERT PHARMACY 250 MOORLAND RES","4805 S MOORLAND RD","RM G502A","NEW BERLIN","WAUKESHA","WI","53151","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000",,"20","0","2022-01-17T00:00:00.000","POINT (-88.109048 42.957511)",
"Walmart Pharmacy #1201","890 ODUM RD",,"GARDENDALE","JEFFERSON","AL","35071","0006-5055-06","Molnupiravir","2022-01-17T00:00:00.000",,"40","1","2022-01-18T00:00:00.000","POINT (-86.825246 33.647431)","1801813191"
"HIGHLAND CLINIC PHARMACY","1455 EAST BERT KOUNS IND LP",,"Shreveport","CADDO","LA","71105","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000",,"20",,,,
"Rite Aid 00610","405 ERIE BOULEVARD WEST",,"ROME","ONEIDA","NY","13440-4803","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000","2022-01-04T00:00:00.000","160","79","2022-01-18T00:00:00.000","POINT (-75.466005 43.213264)",
"CAMC MEMORIAL HOSPITAL","3200 MacCORKLE AVENUE SE","INPATIENT PHARMACY","CHARLESTON","KANAWHA","WV","25304","0310-7442-02","Evusheld","2022-01-03T00:00:00.000","2021-12-22T00:00:00.000","144","107","2022-01-18T00:00:00.000","POINT (-81.603015 38.328692)",
"Walgreens Store #09878","1009 N 9TH ST",,"STROUDSBURG","MONROE","PA","18360","0069-1085-30","Paxlovid","2022-01-11T00:00:00.000","2022-01-13T00:00:00.000","120","114","2022-01-18T00:00:00.000","POINT (-75.216789 40.989608)","1932368305"
"Walmart Pharmacy #1214","115 W Willow Ave",,"Colby","THOMAS","KS","67701","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000",,"40","16","2022-01-18T00:00:00.000","POINT (-101.045418 39.365265)","1942227475"
"LAKE REGIONAL HLTH SYS HOSP","54 Hospital Drive",,"OSAGE BEACH","CAMDEN","MO","65065","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-07T00:00:00.000","40","12","2022-01-14T00:00:00.000","POINT (-92.682912 38.119139)",
"Walmart Pharmacy #5867","500 Bayonne Crossing Way",,"Bayonne","HUDSON","NJ","07002","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000",,"20",,,"POINT (-74.108074 40.660397)","1801175872"
"CVS Store #06252","4480 FIRST AVE.","CVS Pharmacy","EVANSVILLE","VANDERBURGH","IN","47710","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000",,"100","2","2022-01-18T00:00:00.000","POINT (-87.574059 38.018832)","1760585434"
"Walmart Pharmacy #1466","2824 APPALACHIAN HWY",,"JACKSBORO","CAMPBELL","TN","37757","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000","2021-12-31T00:00:00.000","280","22","2022-01-18T00:00:00.000","POINT (-84.177996 36.333756)","1215954490"
"ALBERTSONS MARKET PHARMACY","2751 N County RD W",,"Odessa","ECTOR","TX","79764","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2021-12-29T00:00:00.000","40","28","2022-01-18T00:00:00.000","POINT (-102.397386 31.866058)","1255378717"
"SJRH - St Johns Division","967 North Broadway",,"Yonkers","WESTCHESTER","NY","10701","0310-7442-02","Evusheld","2021-12-27T00:00:00.000","2021-12-29T00:00:00.000","24","24","2022-01-14T00:00:00.000","POINT (-73.884967 40.968234)",
"TEXAS ONCOLOGY WEBSTER","501 W Medical Center Blvd",,"Webster","HARRIS","TX","77598","0310-7442-02","Evusheld","2022-01-12T00:00:00.000","2022-01-06T00:00:00.000","96","72","2022-01-18T00:00:00.000","POINT (-95.127604 29.539927)","1043233422"
"Walgreens Store #13116","4313 ANDREWS HWY",,"MIDLAND","MIDLAND","TX","79703","0069-1085-30","Paxlovid","2022-01-11T00:00:00.000","2022-01-14T00:00:00.000","20","20","2022-01-18T00:00:00.000","POINT (-102.135881 32.002107)","1467782417"
"CVS Store #00337","8 KOCHER DR.","CVS Pharmacy","BENNINGTON","BENNINGTON","VT","05201","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000","2022-01-17T00:00:00.000","80","80","2022-01-18T00:00:00.000","POINT (-73.201277 42.894395)","1316041122"
"INSPIRA MEDICAL CENTER","1505 W. Sherman Ave","ATTN: Pharmacy","Vineland","CUMBERLAND","NJ","08360","0310-7442-02","Evusheld","2022-01-03T00:00:00.000","2021-12-28T00:00:00.000","96",,,"POINT (-75.058659 39.447506)",
"Rite Aid 04684","825A EAST CHESTNUT STREET",,"LANCASTER","LANCASTER","PA","17602-3127","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"240","100","2022-01-18T00:00:00.000","POINT (-76.289161 40.042921)",
"RXONE ST. FRANCIS","309 Jackson Street (floor 1)",,"Monroe","OUACHITA","LA","71201","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","20",,,"POINT (-92.11479 32.499732)","1578070363"
"Walgreens Store #10415","188 N MAIN ST",,"TOOELE","TOOELE","UT","84074","0069-1085-30","Paxlovid","2021-12-28T00:00:00.000","2021-12-30T00:00:00.000","20","8","2022-01-18T00:00:00.000","POINT (-112.298457 40.533836)","1851400576"
"AURORA RETAIL PHARMACY 1155","1881 CHICAGO ST",,"De Pere","BROWN","WI","54115","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000","2022-01-10T00:00:00.000","200","18","2022-01-18T00:00:00.000","POINT (-88.034548 44.439075)","1255365474"
"NEA BAPTIST MEMORIAL HOSP PHARMACY","4800 E JOHNSON AVE",,"JONESBORO","CRAIGHEAD","AR","72401","0069-1085-30","Paxlovid","2022-01-13T00:00:00.000","2022-01-17T00:00:00.000","40","40","2022-01-18T00:00:00.000","POINT (-90.635674 35.864196)",
"V06 637 Asheville, NC","1100 TUNNEL RD",,"ASHEVILLE","BUNCOMBE","NC","28805","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-13T00:00:00.000","20",,,"POINT (-82.485185 35.587129)",
"FIRST CHOICE HEALTH CENTER PHARMACY","110 Connecticut Boulevard","PHARMACY","EAST HARTFORD","HARTFORD","CT","06108","0006-5055-06","Molnupiravir","2021-12-30T00:00:00.000","2022-01-10T00:00:00.000","100","100","2022-01-18T00:00:00.000","POINT (-72.649157 41.769429)","1164055810"
"CVS Store #06770","22361 ANTONIO PKWY.","CVS Pharmacy","RANCHO SANTA MARGARITA","ORANGE","CA","92688","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000","2021-12-31T00:00:00.000","160","48","2022-01-18T00:00:00.000","POINT (-117.589723 33.637895)","1861596546"
"Walgreens Store #00670","10 AVE FENWAL",,"SAN GERMAN","San German","PR","00683","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"40","7","2022-01-18T00:00:00.000",,"1063428498"
"NORTHSHORE HIGHLAND PARK HOSPITAL","777 PARK AVE W","Inpatient Pharmacy","HIGHLAND PARK","LAKE","IL","60035-2433","0069-1085-30","Paxlovid","2022-01-17T00:00:00.000",,"100","0","2022-01-11T00:00:00.000","POINT (-87.807611 42.188803)",
"Hopkins Medical Association","460 Front Street",,"Richlands","TAZEWELL","VA","24641","0310-7442-02","Evusheld","2022-01-12T00:00:00.000",,"48","0","2022-01-04T00:00:00.000","POINT (-81.782978 37.092514)",
"Hy-Vee Pharmacy (1071)","1200 S. 16th Street",,"Clarinda","PAGE","IA","51632","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000","2022-01-11T00:00:00.000","180","99","2022-01-17T00:00:00.000","POINT (-95.037849 40.726808)",
"RENUE RX 4","201 COMMERCE ST","STE 201","FORT WORTH","TARRANT","TX","76102","0069-1085-30","Paxlovid","2022-01-11T00:00:00.000","2022-01-13T00:00:00.000","40",,,"POINT (-97.331447 32.756531)",
"Walgreens Store #12360","3901 OAKLAWN BLVD",,"HOPEWELL","HOPEWELL CITY","VA","23860","0006-5055-06","Molnupiravir","2022-01-12T00:00:00.000","2022-01-10T00:00:00.000","80","0","2022-01-18T00:00:00.000","POINT (-77.315593 37.271973)","1629223631"
"Hillsborough Pharmacy","110 Boone Square St","ste 29","Hillsborough","ORANGE","NC","27278","0006-5055-06","Molnupiravir","2021-12-29T00:00:00.000","2022-01-10T00:00:00.000","160",,,"POINT (-79.100846 36.063824)","1316232416"
"Moose Pharmacy of Locust","1750 West Main St",,"Locust","STANLY","NC","28097","0310-7442-02","Evusheld","2022-01-04T00:00:00.000","2022-01-13T00:00:00.000","24",,,"POINT (-80.453168 35.254706)",
"ST CHARLES MEDICAL CENTER - IP RX","2500 NE Neff Road",,"Bend","DESCHUTES","OR","97701","0310-7442-02","Evusheld","2022-01-14T00:00:00.000","2021-12-28T00:00:00.000","168","112","2022-01-17T00:00:00.000","POINT (-121.266708 44.065757)",
"SAINT FRANCIS HOSPITAL MUSKOGEE","300 ROCKEFELLER DR",,"MUSKOGEE","MUSKOGEE","OK","74401-5075","0069-1085-30","Paxlovid","2022-01-13T00:00:00.000","2022-01-17T00:00:00.000","20","0","2022-01-11T00:00:00.000","POINT (-95.406186 35.753621)","1386188837"
"CVS Store #09575","5501 BALL ROAD","CVS Pharmacy","CYPRESS","ORANGE","CA","90630","0006-5055-06","Molnupiravir","2022-01-14T00:00:00.000",,"160","56","2022-01-18T00:00:00.000","POINT (-118.036023 33.817056)","1588608830"
"Jefferson Washington Township Hospi","435 Hurffville - Cross Keys Rd","Pharmacy Department","Washington Township","GLOUCESTER","NJ","08080","0310-7442-02","Evusheld","2022-01-13T00:00:00.000",,"72",,,"POINT (-75.065655 39.734084)",
"Sams Pharmacy #8102","601 E I65 Service Rd S",,"Mobile","MOBILE","AL","36606","0006-5055-06","Molnupiravir","2022-01-17T00:00:00.000",,"40","20","2022-01-18T00:00:00.000","POINT (-88.125219 30.677087)","1073530382"
"CVS Store #09233","515 S STATE HIGHWAY 49","CVS Pharmacy","JACKSON","AMADOR","CA","95642","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000","2021-12-29T00:00:00.000","40","0","2022-01-18T00:00:00.000","POINT (-120.769751 38.34455)","1821030644"
"V12 676 Tomah, WI","500 E VETERANS STREET",,"TOMAH","MONROE","WI","54660","0006-5055-06","Molnupiravir","2022-01-03T00:00:00.000","2022-01-09T00:00:00.000","40",,,"POINT (-90.493043 44.001155)",
"PROMEDICA TOLEDO HOSPITAL","2142 N. COVE BOULEVARD","ATTN  PHARMACY","TOLEDO","LUCAS","OH","43606","0310-7442-02","Evusheld","2022-01-05T00:00:00.000","2022-01-05T00:00:00.000","288","118","2022-01-18T00:00:00.000","POINT (-83.594786 41.670849)","1407854771"
"UNIVERSITY HOSPITALS OF CLEVELAND","11100 EUCLID AVE","B106","CLEVELAND","CUYAHOGA","OH","44106","0310-7442-02","Evusheld","2022-01-12T00:00:00.000","2022-01-05T00:00:00.000","696",,,"POINT (-81.607239 41.507309)",
"VIDANT MEDICAL CENTER","Department of Pharmacy","2100 Stantonsburg Road","Greenville","PITT","NC","27835","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","40","10","2022-01-18T00:00:00.000",,
"HUNTINGTON HOSPITAL","100 W. CALIFORNIA BLVD.",,"PASADENA","LOS ANGELES","CA","91105","0310-7442-02","Evusheld","2021-12-17T00:00:00.000","2021-12-21T00:00:00.000","24","4","2022-01-18T00:00:00.000","POINT (-118.151875 34.135762)","1477762748"
"UNC Pharmacy at Panther Creek","6715 McCrimmon Parkway","Suite 202","Cary","WAKE","NC","27519","0006-5055-06","Molnupiravir","2021-12-26T00:00:00.000","2022-01-07T00:00:00.000","40","34","2022-01-14T00:00:00.000","POINT (-78.879246 35.829806)",
"Walmart Pharmacy #2","161 N Walmart Dr",,"Harrison","BOONE","AR","72601","0069-1085-30","Paxlovid","2022-01-14T00:00:00.000",,"40","1","2022-01-17T00:00:00.000","POINT (-93.138832 36.266212)","1609893098"
"MCFARLIN PHARMACY INC","101 W DREW AVE",,"MONETTE","CRAIGHEAD","AR","72447","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000",,"20","20","2022-01-18T00:00:00.000","POINT (-90.341599 35.89044)","1447317714"
"Walmart Pharmacy #4105","101 E Redd Rd",,"El Paso","EL PASO","TX","79932","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000","2022-01-04T00:00:00.000","40","35","2022-01-18T00:00:00.000","POINT (-106.586197 31.860597)","1003226093"
"HEB Pharmacy 707","97 OYSTER CREEK DRIV",,"LAKE JACKSON","BRAZORIA","TX","77566-4622","0006-5055-06","Molnupiravir","2021-12-25T00:00:00.000","2022-01-04T00:00:00.000","20","17","2022-01-14T00:00:00.000","POINT (-95.43359 29.041701)",
"Rite Aid 03447","126 W. MAIN STREET",,"GROVE CITY","MERCER","PA","16127-1222","0006-5055-06","Molnupiravir","2022-01-13T00:00:00.000","2022-01-04T00:00:00.000","200","97","2022-01-18T00:00:00.000","POINT (-80.088185 41.157582)",
"Walmart Pharmacy #316","973 Gilbert Ferry Rd SE",,"Attalla","ETOWAH","AL","35954","0069-1085-30","Paxlovid","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","20","20","2022-01-18T00:00:00.000","POINT (-86.09343 33.997101)","1447277744"
"NL EASTERN MAINE MEDICAL CENTER","489 State st",,"Bangor","PENOBSCOT","ME","04401","0310-7442-02","Evusheld","2022-01-11T00:00:00.000",,"312","206","2022-01-17T00:00:00.000","POINT (-68.749828 44.809907)",
"Garnet Health Medical Center","707 East Main St",,"Middletown","ORANGE","NY","10940","0310-7442-02","Evusheld","2022-01-04T00:00:00.000","2022-01-12T00:00:00.000","48","24","2022-01-10T00:00:00.000","POINT (-74.369415 41.439962)",
"V15 589A4 Columbia, MO","800 HOSPITAL DR",,"COLUMBIA","BOONE","MO","65201","0006-5055-06","Molnupiravir","2022-01-03T00:00:00.000","2022-01-10T00:00:00.000","40",,,"POINT (-92.327451 38.937599)",
"Ingles Pharmacy 028","5580 Hwy 25/70",,"Marshall","MADISON","NC","28753","0006-5055-06","Molnupiravir","2022-01-12T00:00:00.000",,"40","0","2022-01-04T00:00:00.000",,"1679588529"
"Walgreens Store #11388","1401 JOHNSTON WILLIS DR",,"NORTH CHESTERFIELD","CHESTERFIELD","VA","23235","0006-5055-06","Molnupiravir","2022-01-12T00:00:00.000","2022-01-14T00:00:00.000","80","8","2022-01-18T00:00:00.000","POINT (-77.595655 37.509359)","1437280997"
