"hhs_id","ccn","facility_name","address","city","zip","fips_code","state","geohash","geocoded_hospital_address"
"C261318-A","261318","Salem Memorial District Hospital","PO BOX 774,","SALEM","65560","29065","MO","37.63,-91.53",
"C381319-A","381319","St Anthony Hospital","2801 ST ANTHONY WAY","PENDLETON","97801","41059","OR","45.648782,-118.812205",
"C650003-A","650003","Guam Regional Medical City","133 ROUTE 3","DEDEDO","96929","66010","GU","13.52,144.82",
"C030074-A","030074","Sells Indian Hospital","HIGHWAY 86, AT TOPAWA ROAD","SELLS","85634","04019","AZ","31.92,-111.88",
"C100166-A","100166","Doctors Hospital of Sarasota","5731 BEE RIDGE RD","SARASOTA","34233","12115","FL","27.29897,-82.45401","POINT (-82.454219 27.298976)"
"C161321-A","161321","AVERA MERRILL PIONEER HOSPITAL","1100 S 10TH AVE","ROCK RAPIDS","51246","19119","IA","43.4166,-96.17144",
"C171324-A","171324","Satanta District Hospital","401 CHEYENNE","SATANTA","67870","20081","KS","37.437192,-100.986665",
"C390146-A","390146","Warren General Hospital","TWO CRESCENT PARK WEST","WARREN","16365","42123","PA","41.85,-79.15",
"C450039-A","450039","JPS","1500 S MAIN ST","FORT WORTH","76104","48439","TX","32.72694,-97.328126","POINT (-97.326407 32.726764)"
"C470001-A","470001","CENTRAL VERMONT MEDICAL CENTER","BOX 547","BARRE","05641","50023","VT","44.2,-72.5",
"C670045-A","670045","COOK CHILDRENS SURGERY CENTER   HURST",,,"76054","48439","TX",,"POINT (-97.177169 32.858354)"
"C050195-A","050195","Washington Hospital","2000 MOWRY AVE","FREMONT","94538","06001","CA","37.55707,-121.98146","POINT (-121.980894 37.557625)"
"C170145-A","170145","Coffeyville Regional Medical Center","1400 W 4TH ST","COFFEYVILLE","67337","20125","KS","37.041491,-95.639457","POINT (-95.638524 37.0404)"
"C250127-A","250127","Choctaw Health Center","ROUTE 7 BOX R50","PHILADELPHIA","39350","28099","MS","32.77,-89.11",
"C260142-A","260142","Fitzgibbon Hospital","2305 S 65 HIGHWAY","MARSHALL","65340","29195","MO","39.10449,-93.21327",
"C400120-A","400120","HIMA San Pablo Caguas","100 AVE LUIS MUNOZ MARIN","CAGUAS","00725","72025","PR","18.2175,-66.04338",
"C443037-A","443037","KNOXVILLE REHABILITATION HOSPITAL","1250 TENNOVA MEDICAL WAY","KNOXVILLE","37909","47093","TN","35.94489,-84.0388",
"C451359-A","451359","Ochiltree General Hospital","3101 GARRETT DRIVE","PERRYTON","79070","48357","TX","36.370026,-100.798743","POINT (-100.799799 36.369933)"
"C530034-A","530034","Summit Medical Center","6350 E 2ND STREET","CASPER","82609","56025","WY","42.841692,-106.230903","POINT (-106.231796 42.840846)"
"C360008-A","360008","Southern Ohio Medical Center","1805 27TH STREET","PORTSMOUTH","45662","39145","OH","38.745355,-82.990579","POINT (-82.977694 38.753905)"
"C190014-B","190014","Ochsner LSU Health - St. Mary Medical Center","915 MARGARET PLACE","SHREVEPORT","71101","22017","LA","32.49593,-93.74646","POINT (-93.74949 32.496018)"
"C45090F-A","45090F","Audie L. Murphy Memorial VA Hospital","7400 MERTON MINTER BOULEVARD","SAN ANTONIO","78284","48029","TX","29.533949,-98.4111","POINT (-98.578924 29.50686)"
"C080009-A","080009","Bayhealth Hospital - Sussex Campus","100 WELLNESS WAY","MILFORD","19963","10005","DE","38.886861,-75.391786","POINT (-75.390234 38.885392)"
"C041304-A","041304","Eureka Springs Hospital","24 NORRIS STREET","EUREKA SPRINGS","72632","05015","AR","36.400244,-93.744286","POINT (-93.744646 36.400432)"
"C363036-A","363036","University Hospitals Rehabilitation Hospital","23333 HARVARD ROAD","BEACHWOOD","44122","39035","OH","41.451819,-81.510141","POINT (-81.51009 41.451236)"
"C122001-A","122001","Leahi Hospital","3675 KILAUEA AVENUE","HONOLULU","96816","15003","HI","21.273008,-157.801993","POINT (-157.801209 21.273675)"
"C460011-A","460011","Castleview Hospital","300 NORTH HOSPITAL DRIVE","PRICE","84501","49007","UT","39.605387,-110.8325","POINT (-110.831949 39.605455)"
"C040153-A","040153","Wadley Regional Medical Center at Hope (FKA Medical Park Hospital)","2001 SOUTH MAIN","HOPE","71801","05057","AR","33.648304,-93.58478","POINT (-93.587055 33.64799)"
"C150162-A","150162","Franciscan Health Indianapolis (FKA Franciscan St Francis Health - Indianapolis)","8111 S EMERSON AVE","INDIANAPOLIS","46237","18097","IN","39.648438,-86.080092","POINT (-86.082667 39.647449)"
"C510013-A","510013","Reynolds Memorial Hospital","800 WHEELING AVE","GLEN DALE","26038","54051","WV","39.945849,-80.753677","POINT (-80.75427 39.946177)"
"C050137-A","050137","Kaiser Permanente - Panorama City Medical Center","13652 CANTARA ST","PANORAMA CITY","91402","06037","CA","34.219734,-118.43084","POINT (-118.430085 34.21985)"
"C230038-A","230038","Spectrum Health Hospitals Helen DeVos Childrens Hospital","100 MICHIGAN ST NE","GRAND RAPIDS","49503","26081","MI","42.97042,-85.66632","POINT (-85.665037 42.970517)"
"C050660-A","050660","USC Kenneth Norris Jr Cancer Hospital","1441 EASTLAKE AVE","LOS ANGELES","90089","06037","CA","34.061179,-118.206312","POINT (-118.204177 34.061478)"
"C523027-A","523027","ProHealth Rehabilitation Hospital of Wisconsin","1625 COLD WATER CREEK DRIVE","WAUKESHA","53188","55133","WI","43.02566,-88.28732","POINT (-88.287091 43.026861)"
"C181310-A","181310","Carroll County Memorial Hospital","309 ELEVENTH STREET","CARROLLTON","41008","21041","KY","38.680033,-85.168522","POINT (-85.169331 38.680037)"
"C431315-A","431315","Wagner Community Memorial Hospital Avera","513 3RD ST SW  POST OFFICE BOX 280","WAGNER","57380","46023","SD","43.06114,-98.29098","POINT (-98.300878 43.079082)"
"C012014-A","012014","NORTH ALABAMA SPECIALTY HOSPITAL","700 WEST MARKET STREET, 2ND FLOOR","ATHENS","35611","01083","AL","34.804291,-86.978996","POINT (-86.978017 34.803509)"
"C131321-A","131321","St Marys Hospital and Clinics (FKA St Marys Hospital)","701 LEWISTON ST","COTTONWOOD","83522","16049","ID","46.050275,-116.353642","POINT (-116.351645 46.050372)"
"C101310-A","101310","NORTH FLORIDA REGIONAL MEDICAL CENTER STARKE CAMPUS",,,"32091","12007","FL",,"POINT (-82.072205 29.953874)"
"C021312-A","021312","Samuel Simmonds Memorial Hospital","7000 UULA ST","BARROW","99723","02040","AK","71.297577,-156.730004","POINT (-156.726548 71.297537)"
"C450834-A","450834","THE PHYSICIAN S CENTER  BRYAN","3131 UNIVERSITY DRIVE EAST","BRYAN","77802","48041","TX","30.650539,-96.297629","POINT (-96.296514 30.649586)"
"C360068-B","360068","ProMedica Toledo Hospital","2142 N COVE BLVD","TOLEDO","43606","39095","OH","41.673007,-83.592372","POINT (-83.594786 41.670849)"
"C140177-A","140177","Jackson Park Hospital & Medical Center","7531 S STONY ISLAND AVE","CHICAGO","60649","17031","IL","41.757568,-87.585248","POINT (-87.58571 41.757332)"
"C100249-A","100249","Bayfront Health - Seven Rivers (FKA Seven Rivers Regional Medical Center)","6201 N SUNCOAST BLVD","CRYSTAL RIVER","34428","12017","FL","28.951573,-82.624652","POINT (-82.625904 28.950977)"
"C451348-A","451348","HEART OF TEXAS HEALTH CARE SYSTEM","2008 NINE ROAD","BRADY","76825","48307","TX","31.117798,-99.347004","POINT (-99.346357 31.116573)"
"C230297-A","230297","Karmanos Cancer Center (AKA Barbara Ann Karmanos Cancer Hospital)","4100 JOHN R","DETROIT","48201","26163","MI","42.352841,-83.056713","POINT (-83.058198 42.3519)"
"C454084-A","454084","AUSTIN STATE HOSPITAL","4110 GUADALUPE","AUSTIN","78751","48453","TX","30.307654,-97.735342","POINT (-97.734571 30.308354)"
"C044023-A","044023","FREEDOM BEHAVIORAL HOSPITAL OF CENTRAL ARKANAS LLC","1400 BRADEN STREET","JACKSONVILLE","72076","05119","AR","34.873912,-92.124314","POINT (-92.124697 34.872381)"
"C17006F-A","17006F","VA EASTERN KANSAS HEALTHCARE SYSTEM - LEAVENWORTH",,"LEAVENWORTH","66048","20103","KS",,"POINT (-94.966272 39.287082)"
"C450876-A","450876","Lubbock Heart & Surgical Hospital","4810 NORTH LOOP 289","LUBBOCK","79416","48303","TX","33.60308,-101.915887","POINT (-101.914289 33.602526)"
"C491302-A","491302","Carilion Giles Community Hospital","159 HARTLEY WAY","PEARISBURG","24134","51071","VA","37.333111,-80.713109","POINT (-80.710747 37.332697)"
"C450848-A","450848","Memorial Hermann Sugar Land Hospital","17500 W GRAND PARKWAY SOUTH","SUGAR LAND","77479","48157","TX","29.564733,-95.69149","POINT (-95.68791 29.56408)"
"C051320-A","051320","Banner Lassen Medical Center","1800 SPRING RIDGE DRIVE","SUSANVILLE","96130","06035","CA","40.436236,-120.627269","POINT (-120.627429 40.438197)"
"C450135-A","450135","THR   FORT WORTH","1301 PENNSYLVANIA AVENUE","FORT WORTH","76104","48439","TX","32.737765,-97.339001","POINT (-97.33965 32.738478)"
"C294010-A","294010","SPRING MOUNTAIN SAHARA","5460 WEST SAHARA","LAS VEGAS","89146","32003","NV","36.146052,-115.215648","POINT (-115.215892 36.144494)"
"H000037",,"Health Promed","CALLE PEDRO MARQUEZ #44","CULEBRA","00775","72049","PR","18.3027362,-65.3010662",
"C440017-A","440017","Holston Valley Medical Center (FKA Wellmont Holston Valley Medical Center)","130 WEST RAVINE ROAD","KINGSPORT","37662","47163","TN","36.528631,-82.56982","POINT (-82.554636 36.553159)"
"C341324-A","341324","THE OUTER BANKS HOSPITAL","4800 SOUTH CROATAN HIGHWAY","NAGS HEAD","27959","37055","NC","35.9398,-75.618114","POINT (-75.616861 35.940748)"
"C310048-A","310048","RWJ University Hospital Somerset (FKA Somerset Medical Center)","110 REHILL AVE","SOMERVILLE","08876","34035","NJ","40.568195,-74.59492","POINT (-74.595695 40.568854)"
"C670093-A","670093","ASPIRE HOSPITAL","2006 SOUTH LOOP 336 WEST, SUITE 500","CONROE","77304","48339","TX","30.284555,-95.480264","POINT (-95.480131 30.284069)"
"C513026-A","513026","Encompass Health Rehabilitation Hospital of Princeton (FKA HealthSouth Southern Hills Rehabilitation Hospital)","120 12TH ST","PRINCETON","24740","54055","WV","37.363044,-81.112225","POINT (-81.112039 37.362773)"
"C520205-A","520205","Midwest Orthopedic Specialty Hospital","10101 SOUTH 27TH ST  2ND FLOOR","FRANKLIN","53132","55079","WI","42.860886,-87.95464","POINT (-87.951723 42.860129)"
"C520088-A","520088","St Agnes Hospital","430 E DIVISION ST","FOND DU LAC","54935","55039","WI","43.777845,-88.43108","POINT (-88.432084 43.7787)"
"C21006F-A","21006F","National Institutes of Health Clinical Center","9000 WISCONSIN AVE","BETHESDA","20014",,"MD","39.004918,-77.101026","POINT (-77.097439 39.004017)"
"C213029-A","213029","Adventist HealthCare Rehabilitation - Takoma Park","7600 CARROLL AVE","TAKOMA PARK","20912","24031","MD","38.98345,-77.00043","POINT (-76.999658 38.984068)"
"C131322-A","131322","Franklin County Medical Center","44 NORTH FIRST EAST","PRESTON","83263","16041","ID","42.097229,-111.873418","POINT (-111.874006 42.097544)"
"C100068-A","100068","AdventHealth Daytona Beach (FKA Florida Hospital Memorial Medical Center)","301 MEMORIAL MEDICAL PARKWAY","DAYTONA BEACH","32117","12127","FL","29.243614,-81.107799","POINT (-81.1093 29.24275)"
"C340113-A","340113","AH BEHAVIORAL HEALTH   DAVIDSON",,,"28036","37119","NC",,"POINT (-80.803612 35.4852)"
"C334063-A","334063","Kingsboro Psychiatric Center","681 CLARKSON AVENUE","BROOKLYN","11203","36047","NY","40.656499,-73.936501","POINT (-73.936188 40.656314)"
"C040161-A","040161","Arkansas Heart Hospital Encore Medical Center","1901 ENCORE WAY","BRYANT","72022","05125","AR","34.61304,-92.520969",
"C050283-A","050283","Stanford Health Care - ValleyCare Medical Center","5555 WEST LAS POSITAS BOULEVARD","PLEASANTON","94588","06001","CA","37.693982,-121.88074","POINT (-121.880027 37.692133)"
"C231300-A","231300","Munson Healthcare Paul Oliver Memorial Hospital","224 PARK AVENUE","FRANKFORT","49635","26019","MI","44.636908,-86.243046","POINT (-86.243108 44.637377)"
"C330101-D","330101","NewYork-Presbyterian Morgan Stanley Childrens Hospital","3959 BROADWAY","NEW YORK","10032","36061","NY","40.83996,-73.940948","POINT (-73.940896 40.839703)"
"C390204-A","390204","Nazareth Hospital","2601 HOLME AVE","PHILADELPHIA","19152","42101","PA","40.05988,-75.040674","POINT (-75.043382 40.058532)"
"C280130-A","280130","CHI Health Lakeside (FKA Alegent Health Lakeside Hospital)","16901 LAKESIDE HILLS CT","OMAHA","68130","31055","NE","41.239013,-96.18118","POINT (-96.180532 41.23904)"
"C061313-A","061313","Kit Carson County Memorial Hospital","286 16TH ST","BURLINGTON","80807","08063","CO","39.302882,-102.2702","POINT (-102.270711 39.302378)"
"C194088-A","194088","St James Behavioral Health Hospital","3136 SOUTH ST LANDRY ROAD","GONZALES","70737","22005","LA","30.203846,-90.951941","POINT (-90.95371 30.20388)"
"C490024-C","490024","Carilion Roanoke Memorial Hospital","1906 BELLEVIEW AVE SE","ROANOKE","24014","51770","VA","37.251723,-79.942413","POINT (-79.942297 37.252046)"
"C451319-B","451319","CHRISTUS MOTHER FRANCES   JACKSONVILLE",,,"75701","48423","TX",,"POINT (-95.296721 32.323605)"
"C390236-A","390236","Guthrie Towanda Memorial Hospital (AKA Memorial Hospital Inc of Towanda)","91 HOSPITAL DRIVE","TOWANDA","18848","42015","PA","41.78346,-76.44941","POINT (-76.448602 41.783796)"
"C391316-A","391316","UPMC Wellsboro (FKA UPMC Susquehanna Soldiers & Sailors Memorial Hospital)","32-36 CENTRAL AVENUE","WELLSBORO","16901","42117","PA","41.74619,-77.30048","POINT (-77.299641 41.745656)"
"C141315-A","141315","Illini Community Hospital","640 W WASHINGTON","PITTSFIELD","62363","17149","IL","39.607395,-90.815086","POINT (-90.815055 39.606793)"
"C140161-A","140161","OSF Saint James - John W Albrecht Medical Center","2500 WEST REYNOLDS STREET","PONTIAC","61764","17105","IL","40.86961,-88.67876","POINT (-88.678583 40.873402)"
"C520204-A","520204","Ascension SE Wisconsin Hospital - Franklin Campus (FKA Ascension Wheaton Franciscan Healthcare - Franklin)","10101 S 27TH ST","FRANKLIN","53132","55079","WI","42.860886,-87.95464","POINT (-87.951723 42.860129)"
"C100260-A","100260","St Lucie Medical Center","1800 SE TIFFANY AVE","PORT SAINT LUCIE","34952","12111","FL","27.288608,-80.294307","POINT (-80.295262 27.289552)"
"C230096-A","230096","Sturgis Hospital","916 MYRTLE AVE","STURGIS","49091","26149","MI","41.79498,-85.407264","POINT (-85.407308 41.794193)"
"C232023-B","232023","SELECT SPECIALTY HOSPITAL - MACOMB COUNTY INC","44405 WOODWARD AVENUE","PONTIAC","48341","26125","MI","42.614652,-83.276443","POINT (-83.275168 42.615015)"
"C460019-A","460019","Uintah Basin Medical Center","250 WEST 300 NORTH","ROOSEVELT","84066","49013","UT","40.304342,-109.996199","POINT (-109.996264 40.303398)"
"C10063F-A","10063F","TAMPA VA MEDICAL CENTER","13000 BRUCE B DOWNS BLVD","TAMPA","33612","12057","FL","28.063607,-82.429477","POINT (-82.426154 28.064543)"
"C102022-A","102022","Select Specialty Hospital - Gainesville","1600 SW ARCHER RD 5TH FLOOR","GAINESVILLE","32610","12001","FL","29.640116,-82.34155","POINT (-82.343465 29.639183)"
"C420004-A","420004","Medical University of South Carolina","169 ASHLEY AVE","CHARLESTON","29425","45019","SC","32.784537,-79.947344","POINT (-79.946522 32.785267)"
"C220063-A","220063","Lowell General Hospital - Main Campus","295 VARNUM AVENUE","LOWELL","01854","25017","MA","42.647705,-71.340269","POINT (-71.341354 42.6463)"
"C410010-A","410010","Women & Infants Hospital","101 DUDLEY STREET","PROVIDENCE","02905","44007","RI","41.810964,-71.412083","POINT (-71.411753 41.810179)"
"C113029-A","113029","ATRIUM HEALTH NAVICENT REHABILITATION HOSPITAL","3351 NORTHSIDE DRIVE","MACON","31210","13021","GA","32.893215,-83.680486","POINT (-83.681431 32.892836)"
"C331305-A","331305","OConnor Hospital","460 ANDES ROAD","DELHI","13753","36025","NY","42.268644,-74.915585","POINT (-74.915943 42.26775)"
"C230117-A","230117","Ascension Borgess Hospital","1521 GULL ROAD","KALAMAZOO","49048","26077","MI","42.307946,-85.561775","POINT (-85.561356 42.304792)"
"C010083-A","010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","36535","01003","AL","30.427003,-87.683861","POINT (-87.683191 30.425628)"
"C340145-A","340145","ATRIUM HEALTH LINCOLN  FKA CAROLINAS HEALTHCARE SYSTEM LINCOLN","433 MCALISTER RD","LINCOLNTON","28092","37109","NC","35.489846,-81.203642","POINT (-81.20112 35.488525)"
"C070040-A","070040","Hebrew Home and Hospital","1 ABRAHMS BOULEVARD","WEST HARTFORD","06117","09003","CT","41.802806,-72.728452","POINT (-72.728833 41.802723)"
"C260064-A","260064","SSM Health St Marys Hospital - Audrain","620 E MONROE","MEXICO","65265","29007","MO","39.173351,-91.878403","POINT (-91.877238 39.172921)"
"C290056-A","290056","Orthopedic Specialty Hospital of Nevada","8656 WEST PATRICK LANE","LAS VEGAS","89148","32003","NV","36.078747,-115.281032","POINT (-115.281036 36.077811)"
"C352005-A","352005","Vibra Hospital of Central Dakotas (FKA Kindred Hospital Central Dakotas)","1000 18TH STREET NW","MANDAN","58554","38059","ND","46.84125,-100.90733","POINT (-100.906981 46.841233)"
"C351312-A","351312","Northwood Deaconess Health Center","PO BOX 190","NORTHWOOD","58267","38035","ND","47.74,-97.58",
"C111306-A","111306","Effingham Health System (AKA Effingham Hospital)","459 GA HIGHWAY 119 SOUTH","SPRINGFIELD","31329","13103","GA","32.36971,-81.31426","POINT (-81.321889 32.364646)"
"C141324-A","141324","Ferrell Hospital","1201 PINE STREET","ELDORADO","62930","17165","IL","37.815636,-88.442238","POINT (-88.441452 37.815346)"
"C234026-A","234026","Kalamazoo Psychiatric Hospital","1312 OAKLAND DR","KALAMAZOO","49008","26077","MI","42.279437,-85.604106","POINT (-85.602076 42.278436)"
"C050122-A","050122","Dameron Hospital","525 WEST ACACIA STREET","STOCKTON","95203","06077","CA","37.961544,-121.301733","POINT (-121.300846 37.961177)"
"C320003-A","320003","Alta Vista Regional Hospital","104 LEGION DRIVE","LAS VEGAS","87701","35047","NM","35.61868,-105.21722","POINT (-105.209989 35.622091)"
"C391315-A","391315","Penn Highlands Elk","763 JOHNSONBURG ROAD","SAINT MARYS","15857","42047","PA","41.425166,-78.580082","POINT (-78.576487 41.426298)"
"C043301-A","043301","Arkansas Childrens Northwest","2601 GENE GEORGE BOULEVARD","SPRINGDALE","72762","05143","AR","36.16371,-94.191451","POINT (-94.192602 36.163325)"
"C440110-A","440110","Fort Loudoun Medical Center","550 FORT LOUDON MEDICAL CENTER DR","LENOIR CITY","37772","47105","TN","35.82457,-84.27101","POINT (-84.271049 35.824528)"
"C511313-A","511313","Boone Memorial Hospital","701 MADISON AVENUE","MADISON","25130","54005","WV","38.048332,-81.80661","POINT (-81.806794 38.048342)"
"C351330-A","351330","West River Health Services","1000 HIGHWAY 12","HETTINGER","58639","38001","ND","46.001953,-102.628319","POINT (-102.627821 46.001453)"
"C503300-A","503300","Seattle Childrens Hospital","4800 SAND POINT WAY NE, PO BOX C-5371","SEATTLE","98105","53033","WA","47.66243,-122.282291","POINT (-122.283119 47.664549)"
"C180128-A","180128","THREE RIVERS MEDICAL CENTER","2485 HIGHWAY 644","LOUISA","41230","21127","KY","38.092371,-82.604995","POINT (-82.60474 38.0933)"
"C241333-A","241333","Mayo Clinic Hospital - St James","1101 MOULTON AND PARSONS DRIVE","ST JAMES","56081","27165","MN","43.969932,-94.623015","POINT (-94.621515 43.96949)"
"C271324-A","271324","Pondera Medical Center","805 SUNSET BLVD","CONRAD","59425","30073","MT","48.174393,-111.957676","POINT (-111.958555 48.173915)"
"C381303-A","381303","Providence Seaside Hospital","725 S WAHANNA ROAD","SEASIDE","97138","41007","OR","45.988792,-123.913409","POINT (-123.914805 45.989367)"
"C360072-A","360072","Fairfield Medical Center","401 NORTH EWING STREET","LANCASTER","43130","39045","OH","39.716921,-82.577124","POINT (-82.576675 39.717092)"
"C45063F-A","45063F","WEST TEXAS VA HEALTH CARE SYSTEM","300 VETERANS BLVD","BIG SPRING","79720","48227","TX","32.23067,-101.47134","POINT (-101.471074 32.231824)"
"C010012-A","010012","DeKalb Regional Medical Center","200 MED CENTER DRIVE","FORT PAYNE","35968","01049","AL","34.44,-85.75",
"C450388-A","450388","Methodist Hospital","7700 FLOYD CURL DR","SAN ANTONIO","78229","48029","TX","29.508052,-98.572406","POINT (-98.573157 29.507005)"
"C251318-A","251318","North Sunflower Medical Center","840 NORTH OAK AVENUE","RULEVILLE","38771","28133","MS","33.73448,-90.54667","POINT (-90.546818 33.734488)"
"C390198-A","390198","Millcreek Community Hospital","5515 PEACH STREET","ERIE","16509","42049","PA","42.073913,-80.092317","POINT (-80.093739 42.074173)"
"C112013-A","112013","Select Specialty Hospital - Augusta","1537 WALTON WAY","AUGUSTA","30904","13245","GA","33.476263,-81.990273","POINT (-81.990209 33.475404)"
"C392050-A","392050","Penn Medicine Rittenhouse","1800 LOMBARD ST","PHILADELPHIA","19146","42101","PA","39.945153,-75.172246","POINT (-75.172467 39.945553)"
"C310032-C","310032","JEFFERSON CHERRY HILL HOSPITAL","2201 CHAPEL AVE W,","CHERRY HILL","08002","34007","NJ","39.927233,-75.016189","POINT (-75.017145 39.929089)"
"C354003-A","354003","North Dakota State Hospital","2605 CIRCLE DRIVE","JAMESTOWN","58401","38093","ND","46.880695,-98.687993","POINT (-98.687013 46.880581)"
"C18S012-A","18S012","Baptist Health Hardin Lifespring Pysch","913 N DIXIE AVE","ELIZABETHTOWN","42701","21093","KY","37.71087,-85.876822","POINT (-85.875148 37.710075)"
"C490050-A","490050","Virginia Hospital Center - Arlington","1701 NORTH GEORGE MASON DRIVE","ARLINGTON","22205","51013","VA","38.889602,-77.128169","POINT (-77.128648 38.889069)"
"C170187-A","170187","Salina Surgical Hospital","401 SOUTH SANTA FE AVENUE","SALINA","67401","20169","KS","38.833785,-97.608557","POINT (-97.609169 38.833845)"
"C140233-A","140233","OSF Saint Anthony Medical Center","5666 EAST STATE STREET","ROCKFORD","61108","17201","IL","42.26598,-89.00669","POINT (-89.006846 42.265866)"
"C390097-A","390097","Holy Redeemer Hospital and Medical Center (AKA Holy Redeemer Health System)","1648 HUNTINGDON PIKE","MEADOWBROOK","19046","42091","PA","40.11137,-75.082945","POINT (-75.081101 40.108944)"
"C250134-A","250134","Whitfield Medical Surgical Hospital","3550 HWY 468 W, BLDG 60","WHITFIELD","39193","28121","MS","32.24252,-90.073904",
"C170020-A","170020","Hutchinson Regional Medical Center (AKA Promise Regional Medical Center Hutchinson)","1701 E 23RD AVENUE","HUTCHINSON","67502","20155","KS","38.077574,-97.892107","POINT (-97.892038 38.079488)"
"C450055-A","450055","Rolling Plains Memorial Hospital","200 E ARIZONA","SWEETWATER","79556","48353","TX","32.453004,-100.397747","POINT (-100.398245 32.453895)"
"C060001-A","060001","North Colorado Medical Center","1801 16TH ST","GREELEY","80631","08123","CO","40.414822,-104.70891","POINT (-104.709429 40.413834)"
"C010024-A","010024","Jackson Hospital","1725 PINE STREET","MONTGOMERY","36106","01101","AL","32.367008,-86.285024","POINT (-86.285363 32.366604)"
"C440156-B","440156","Parkridge East Hospital","941 SPRING CREEK RD","CHATTANOOGA","37412","47065","TN","34.998797,-85.218962","POINT (-85.217839 34.998967)"
"C440009-A","440009","Cumberland Medical Center","421 S MAIN ST","CROSSVILLE","38555","47035","TN","35.943277,-85.021853","POINT (-85.023065 35.942801)"
"C25042F-A","25042F","VA GULF COAST HEALTHCARE SYSTEM","200 E BEACH BLVD","GULFPORT","39507","28047","MS","30.380291,-89.050039","POINT (-89.051783 30.376566)"
"C010174-A","010174","THOMASVILLE REGIONAL MEDICAL CENTER","300 MED PARK DRIVE","THOMASVILLE","36784","01025","AL","31.86683,-87.74028",
"C452097-B","452097","VIBRA HOSPITAL OF RICHARDSON",,,"75080","48113","TX",,"POINT (-96.740545 32.971576)"
"C100045-A","100045","AdventHealth DeLand (FKA Florida Hospital DeLand)","701 W PLYMOUTH AVE","DELAND","32720","12127","FL","29.044414,-81.318464","POINT (-81.317319 29.042611)"
"C050211-A","050211","Alameda Hospital","2070 CLINTON AVENUE","ALAMEDA","94501","06001","CA","37.76319,-122.254017","POINT (-122.253657 37.763281)"
"C05114F-A","05114F","VA SAN DIEGO HEALTHCARE SYSTEM","3350 LA JOLLA VILLAGE DR","SAN DIEGO","92161","06073","CA","32.856601,-117.20874",
"C264030-A","264030","Signature Psychiatric Hospital","2900 CLAY EDWARDS DRIVE","NORTH KANSAS CITY","64116","29047","MO","39.14886,-94.55003","POINT (-94.551464 39.150956)"
"C361318-A","361318","ProMedica Fostoria Community Hospital","501 VAN BUREN STREET","FOSTORIA","44830","39147","OH","41.162627,-83.406471","POINT (-83.424059 41.163218)"
"C222046-A","222046","Vibra Hospital of Western Massachusetts - Central Campus (FKA Kindred Hospital Park View Central Massachusetts)","111 HUNTOON MEMORIAL HWY","ROCHDALE","01542","25027","MA","42.201831,-71.898862","POINT (-71.899974 42.201333)"
